Day,Number of animals,Number of plants,Number of free fields,Average energy,Average life time,Most popular genotype
0,100,250,2168,4500.0,0.0,6 5 5 0 1 1 2 1 2 0 4 2 1 3 6 4 3 1 0 0 4 3 4 1 3 5 4 1 2 4 4 6
1,100,255,2146,4429.0,0.0,6 5 5 0 1 1 2 1 2 0 4 2 1 3 6 4 3 1 0 0 4 3 4 1 3 5 4 1 2 4 4 6
2,101,261,2141,4357.426,0.0,6 5 5 0 1 1 2 1 2 0 4 2 1 3 6 4 3 1 0 0 4 3 4 1 3 5 4 1 2 4 4 6
3,103,266,2136,4285.175,0.0,6 5 5 0 1 1 2 1 2 0 4 2 1 3 6 4 3 1 0 0 4 3 4 1 3 5 4 1 2 4 4 6
4,105,268,2132,4213.3145,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
5,108,278,2121,4137.824,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
6,109,281,2113,4065.3945,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
7,111,283,2111,3992.6758,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
8,115,286,2108,3916.3914,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
9,116,291,2097,3841.8276,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
10,116,297,2087,3770.276,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
11,120,303,2087,3692.7166,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
12,124,310,2075,3616.484,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
13,135,312,2075,3536.3926,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
14,143,314,2061,3459.4475,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
15,152,324,2047,3378.125,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
16,163,322,2040,3300.4602,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
17,180,327,2029,3213.1943,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
18,196,332,2011,3128.3774,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
19,223,330,2006,3037.843,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
20,257,334,1988,2943.786,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
21,292,334,1961,2853.3562,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
22,338,337,1933,2759.5857,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
23,395,340,1913,2665.9014,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
24,458,332,1879,2571.4368,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
25,534,325,1860,2476.4458,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
26,630,324,1837,2381.9016,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
27,753,317,1813,2288.826,0.0,2 2 2 4 3 5 5 4 0 3 7 4 0 2 0 3 0 4 3 6 5 5 0 4 6 5 6 4 5 6 3 3
28,898,304,1769,2196.794,0.0,2 0 4 2 1 4 3 1 7 2 4 5 7 3 3 0 4 3 3 6 3 4 6 7 4 4 1 4 4 4 2 1
29,1077,289,1727,2105.1726,0.0,2 0 4 2 1 4 3 1 7 2 4 5 7 3 3 0 4 3 3 6 3 4 6 7 4 4 1 4 4 4 2 1
30,1310,280,1692,2014.9176,0.0,2 0 4 2 1 4 3 1 7 2 4 5 7 3 3 0 4 3 3 6 3 4 6 7 4 4 1 4 4 4 2 1
31,1578,260,1624,1925.2421,0.0,7 5 1 3 6 1 3 7 3 0 5 4 0 3 2 6 7 1 3 3 2 3 1 7 1 3 6 4 7 0 2 1
32,1910,238,1576,1838.2073,0.0,7 5 1 3 6 1 3 7 3 0 5 4 0 3 2 6 7 1 3 3 2 3 1 7 1 3 6 4 7 0 2 1
33,2303,212,1511,1751.4976,0.0,7 5 1 3 6 1 3 7 3 0 5 4 0 3 2 6 7 1 3 3 2 3 1 7 1 3 6 4 7 0 2 1
34,2762,198,1439,1666.6615,0.0,7 5 1 3 6 1 3 7 3 0 5 4 0 3 2 6 7 1 3 3 2 3 1 7 1 3 6 4 7 0 2 1
